ID,Category,Prompt,Author,Quote
1,Sensory,What is a small detail you noticed today that most people walked right past?,Rumi,"The wound is the place where the Light enters you."
2,Sensory,What sound brought you the most comfort or annoyance in the last 24 hours?,Thich Nhat Hanh,"Sometimes your joy is the source of your smile but sometimes your smile can be the source of your joy."
3,Mindfulness,If you could freeze one fleeting moment from today into a photograph what would it look like?,Marcus Aurelius,"Never let the future disturb you. You will meet it if you have to with the same weapons of reason which today arm you against the present."
4,Sensory,What was the most unexpected texture or physical sensation you interacted with today?,Leonardo da Vinci,"All our knowledge has its origins in our perceptions."
5,Introspection,What is a thought or worry you silently carried today that you didn't voice to anyone?,Seneca,"We suffer more in imagination than in reality."
6,Observation,Which inanimate object around you right now has the most untold stories?,Antoine de Saint-Exupery,"It is only with the heart that one can see rightly what is essential is invisible to the eye."
7,Connection,What micro-gesture of kindness did you witness or receive recently?,Maya Angelou,"People will forget what you said people will forget what you did but people will never forget how you made them feel."
8,Sensory,Describe a smell that instantly transported you to a different time in your life.,Marcel Proust,"The real voyage of discovery consists not in seeking new landscapes but in having new eyes."
9,Perception,What color dominated your day and what feeling does it hold?,Wassily Kandinsky,"Color is a power which directly influences the soul."
10,Emotion,If your mood today were a weather pattern what would the forecast read?,Rainer Maria Rilke,"Let everything happen to you: beauty and terror. Just keep going. No feeling is final."
11,Introspection,What conversation replays itself in your mind when everything goes quiet?,Socrates,"The unexamined life is not worth living."
12,Language,Which word did you repeat the most today — spoken or thought?,Ludwig Wittgenstein,"The limits of my language mean the limits of my world."
13,Embodiment,What is one thing your hands created touched or held onto today?,Khalil Gibran,"Work is love made visible."
14,Reflection,If you could send a three-word message to your morning self what would it say?,Oscar Wilde,"Be yourself; everyone else is already taken."
15,Memory,What part of today felt the most real and what part felt like a dream?,Jorge Luis Borges,"Time is the substance I am made of. Time is a river which sweeps me along but I am the river."
16,Joy,Describe the last time you laughed so hard it caught you off guard.,Friedrich Nietzsche,"And those who were seen dancing were thought to be insane by those who could not hear the music."
17,Regret,What question did someone ask you today that you wish you had answered differently?,Confucius,"The man who asks a question is a fool for a minute. The man who does not ask is a fool for life."
18,Narrative,If your day had a title written on its spine like a book what would it be?,Terry Pratchett,"In the beginning there was nothing which exploded."
19,Silence,What sound or silence gave you a moment of unexpected peace?,Blaise Pascal,"All of humanity's problems stem from man's inability to sit quietly in a room alone."
20,Strangers,Which stranger's face from today do you remember and why?,John Steinbeck,"It is a common experience that a problem difficult at night is resolved in the morning after the committee of sleep has worked on it."
21,Avoidance,What did you avoid thinking about today and why did you choose avoidance?,Carl Jung,"Until you make the unconscious conscious it will direct your life and you will call it fate."
22,Preservation,If you could preserve one feeling from today in a jar which would it be?,Emily Dickinson,"Forever is composed of nows."
23,Boundaries,What boundary did you honor or cross today that mattered?,Brené Brown,"Daring to set boundaries is about having the courage to love ourselves even when we risk disappointing others."
24,Taste,Describe the last meal or drink that truly satisfied you — not just hunger.,Fernand Point,"Success is the sum of a lot of small things done correctly."
25,Uniqueness,What made today different from yesterday in a way no one else would notice?,Heraclitus,"No man ever steps in the same river twice for it is not the same river and he is not the same man."
26,Time,If you could replay one five-minute stretch of today which would you choose?,Saint Augustine,"The present time has two companions the memory of the past and the anticipation of the future."
27,Freedom,What small act of rebellion rule-breaking or freedom did you indulge in?,James Baldwin,"Not everything that is faced can be changed but nothing can be changed until it is faced."
28,Growth,What would the youngest version of you think of who you are right now?,Pablo Picasso,"Every child is an artist. The problem is how to remain an artist once we grow up."
29,Pending,What unfinished thought is still sitting at the edge of your mind?,Samuel Beckett,"Ever tried. Ever failed. No matter. Try again. Fail again. Fail better."
30,Music,If today were a piece of music what instrument would carry the melody?,Victor Hugo,"Music expresses that which cannot be put into words and that which cannot remain silent."
31,Perspective,What would change about today if you knew no one was watching?,Ralph Waldo Emerson,"To be yourself in a world that is constantly trying to make you something else is the greatest accomplishment."
32,Gratitude,What tiny luxury did you enjoy today that your past self would marvel at?,Melody Beattie,"Gratitude turns what we have into enough."
33,Fear,What scared you a little today and did you lean into it or away from it?,Susan Jeffers,"Feel the fear and do it anyway."
34,Nature,What piece of the natural world did you notice or ignore today?,Albert Einstein,"Look deep into nature and then you will understand everything better."
35,Body,Where in your body did you carry today's tension — and where did you find release?,Bessel van der Kolk,"The body keeps the score."
36,Creativity,What idea visited you today that deserves more attention?,Pablo Picasso,"Inspiration exists but it has to find you working."
37,Home,What about your current surroundings feels like sanctuary and what feels like confinement?,T.S. Eliot,"We shall not cease from exploration and the end of all our exploring will be to arrive where we started and know the place for the first time."
38,Transition,What are you in the middle of right now — emotionally intellectually physically?,Heraclitus,"The only constant in life is change."
39,Effort,What did you work hard at today that no one else saw?,Angela Duckworth,"Enthusiasm is common. Endurance is rare."
40,Memory,Which smell from today do you want to remember a year from now?,Joyce Carol Oates,"Memory is the diary that we all carry about with us."
41,Generosity,What did you give away today — time attention patience kindness?,Leo Tolstosto,"The two most powerful warriors are patience and time."
42,Contradiction,What contradicting truth did you hold in both hands today?,Rumi,"Yesterday I was clever so I wanted to change the world. Today I am wise so I am changing myself."
43,Art,What moment today could have been a painting if someone had captured it?,John Keats,"A thing of beauty is a joy for ever."
44,Sleep,What dream or half-dream hovered around the edges of your sleep last night?,Sigmund Freud,"Dreams are the royal road to the unconscious."
45,Simplicity,What is the simplest pleasure that reliably brings you peace?,Leonardo da Vinci,"Simplicity is the ultimate sophistication."
46,Courage,What did you say today that required more bravery than people realized?,Nelson Mandela,"I learned that courage was not the absence of fear but the triumph over it."
47,Solitude,How did you spend your loneliest five minutes today?,Blaise Pascal,"All of humanity's problems stem from man's inability to sit quietly in a room alone."
48,Expectation,What were you anticipating today and did reality match the prediction?,Mark Twain,"Worrying is like paying a debt you don't owe."
